Customer ID,Call Duration,Call Type,Timestamp,Rate Applied,Charges
44,2,Domestic,2024-06-23 14:17:32.906992,0.05,0.1
239,2,Domestic,2024-05-28 12:28:32.907019,0.05,0.1
430,3,International,2024-05-30 14:38:32.907029,0.15,0.44999999999999996
97,3,International,2024-06-14 18:48:32.907037,0.15,0.44999999999999996
98,8,Domestic,2024-06-07 20:37:32.907046,0.05,0.4
375,3,Domestic,2024-05-27 21:12:32.907054,0.06,0.18
324,15,Domestic,2024-06-08 09:21:32.907062,0.05,0.75
461,6,Domestic,2024-06-06 22:06:32.907070,0.05,0.30000000000000004
458,1,Domestic,2024-06-08 16:48:32.907078,0.05,0.05
53,9,International,2024-06-24 09:08:32.907086,0.15,1.3499999999999999
109,1,Domestic,2024-05-26 08:58:32.907094,0.05,0.05
257,6,Domestic,2024-06-16 23:57:32.907102,0.05,0.30000000000000004
11,2,Domestic,2024-06-16 22:51:32.907111,0.05,0.1
178,7,Domestic,2024-05-28 12:12:32.907122,0.05,0.35000000000000003
393,7,Domestic,2024-05-29 12:48:32.907130,0.06,0.42
294,5,International,2024-06-17 16:36:32.907138,0.15,0.75
471,5,Domestic,2024-06-10 03:33:32.907148,0.05,0.25
397,2,Domestic,2024-06-08 04:15:32.907157,0.05,0.1
389,1,Domestic,2024-06-05 01:05:32.907165,0.06,0.06
25,2,Domestic,2024-05-27 16:06:32.907173,0.05,0.1
126,1,Domestic,2024-06-18 03:17:32.907181,0.05,0.05
266,4,Domestic,2024-06-01 09:31:32.907189,0.05,0.2
133,2,Domestic,2024-06-23 23:27:32.907196,0.05,0.1
278,12,Domestic,2024-06-07 05:10:32.907204,0.05,0.6000000000000001
42,4,Domestic,2024-06-15 08:56:32.907212,0.05,0.2
473,6,Domestic,2024-06-21 08:37:32.907220,0.06,0.36
101,1,International,2024-06-17 00:13:32.907228,0.15,0.15
404,6,Domestic,2024-06-04 09:37:32.907236,0.05,0.30000000000000004
284,8,Domestic,2024-06-06 21:56:32.907243,0.05,0.4
277,3,Domestic,2024-06-11 04:16:32.907251,0.05,0.15000000000000002
139,3,Domestic,2024-05-25 22:13:32.907259,0.05,0.15000000000000002
221,5,Domestic,2024-06-02 09:37:32.907267,0.05,0.25
69,1,Domestic,2024-06-20 04:01:32.907277,0.05,0.05
293,3,Domestic,2024-06-21 13:41:32.907285,0.05,0.15000000000000002
177,2,Domestic,2024-06-04 00:13:32.907293,0.06,0.12
373,1,International,2024-06-20 05:44:32.907300,0.15,0.15
197,2,Domestic,2024-05-27 04:16:32.907308,0.05,0.1
33,1,Domestic,2024-06-17 01:17:32.907316,0.05,0.05
301,1,Domestic,2024-06-15 14:59:32.907324,0.05,0.05
228,1,International,2024-06-10 18:08:32.907331,0.15,0.15
136,10,International,2024-06-22 08:48:32.907339,0.15,1.5
372,3,Domestic,2024-06-03 12:10:32.907347,0.05,0.15000000000000002
134,11,Domestic,2024-06-09 08:52:32.907355,0.05,0.55
399,2,Domestic,2024-06-18 00:43:32.907362,0.05,0.1
143,2,Domestic,2024-05-31 17:12:32.907370,0.05,0.1
245,3,Domestic,2024-05-30 05:07:32.907378,0.05,0.15000000000000002
496,2,Domestic,2024-06-09 15:59:32.907386,0.05,0.1
137,1,Domestic,2024-06-19 22:15:32.907393,0.06,0.06
61,4,International,2024-06-23 16:40:32.907401,0.15,0.6
56,1,International,2024-06-21 11:15:32.907409,0.18,0.18
133,3,Domestic,2024-06-23 10:14:32.907417,0.05,0.15000000000000002
382,4,Domestic,2024-06-04 19:40:32.907424,0.05,0.2
410,1,International,2024-06-03 03:30:32.907432,0.15,0.15
471,1,Domestic,2024-06-20 07:03:32.907440,0.05,0.05
208,5,Domestic,2024-06-23 19:35:32.907448,0.05,0.25
126,2,Domestic,2024-06-10 08:04:32.907455,0.05,0.1
123,1,Domestic,2024-06-03 15:26:32.907463,0.05,0.05
441,16,Domestic,2024-06-02 02:11:32.907471,0.05,0.8
231,1,Domestic,2024-06-08 11:44:32.907480,0.06,0.06
35,4,Domestic,2024-06-09 06:09:32.907491,0.05,0.2
266,13,Domestic,2024-06-16 19:20:32.907499,0.05,0.65
91,1,Domestic,2024-06-05 00:50:32.907507,0.06,0.06
464,1,Domestic,2024-06-21 00:59:32.907516,0.05,0.05
21,1,International,2024-06-24 12:18:32.907526,0.18,0.18
140,2,Domestic,2024-06-04 00:27:32.907534,0.05,0.1
265,1,Domestic,2024-06-04 00:08:32.907543,0.05,0.05
400,4,Domestic,2024-06-04 04:03:32.907554,0.05,0.2
457,1,Domestic,2024-05-28 12:15:32.907562,0.05,0.05
120,3,Domestic,2024-05-30 13:57:32.907570,0.06,0.18
221,18,Domestic,2024-06-20 08:43:32.907577,0.05,0.9
438,6,Domestic,2024-06-21 20:10:32.907585,0.05,0.30000000000000004
383,3,Domestic,2024-06-20 17:20:32.907593,0.06,0.18
23,2,Domestic,2024-05-26 08:58:32.907601,0.06,0.12
39,3,Domestic,2024-06-22 02:59:32.907608,0.06,0.18
235,3,Domestic,2024-05-26 11:22:32.907616,0.05,0.15000000000000002
241,2,Domestic,2024-06-20 17:51:32.907624,0.05,0.1
128,1,Domestic,2024-06-23 21:02:32.907632,0.05,0.05
472,7,Domestic,2024-06-04 15:59:32.907640,0.05,0.35000000000000003
22,2,Domestic,2024-06-07 11:15:32.907647,0.05,0.1
55,1,Domestic,2024-06-04 12:02:32.907655,0.05,0.05
415,2,Domestic,2024-05-29 07:52:32.907663,0.06,0.12
330,2,Domestic,2024-05-28 11:20:32.907671,0.05,0.1
47,6,Domestic,2024-06-08 15:47:32.907678,0.05,0.30000000000000004
234,4,Domestic,2024-05-30 08:46:32.907686,0.05,0.2
27,5,Domestic,2024-06-01 19:34:32.907694,0.05,0.25
384,1,International,2024-06-15 00:37:32.907702,0.15,0.15
482,2,International,2024-06-05 05:54:32.907709,0.18,0.36
48,2,Domestic,2024-06-15 08:01:32.907717,0.06,0.12
167,1,Domestic,2024-06-05 01:53:32.907725,0.06,0.06
472,1,Domestic,2024-05-26 10:57:32.907741,0.05,0.05
405,5,Domestic,2024-06-09 01:05:32.907750,0.06,0.3
271,1,Domestic,2024-06-21 10:56:32.907758,0.05,0.05
81,3,Domestic,2024-05-26 02:36:32.907766,0.06,0.18
118,1,International,2024-06-01 18:06:32.907773,0.15,0.15
45,1,Domestic,2024-06-02 11:21:32.907781,0.05,0.05
275,1,Domestic,2024-06-07 16:45:32.907789,0.05,0.05
181,12,Domestic,2024-06-05 03:43:32.907797,0.05,0.6000000000000001
473,5,Domestic,2024-06-21 15:19:32.907804,0.06,0.3
311,10,International,2024-06-06 14:02:32.907812,0.18,1.7999999999999998
232,3,International,2024-06-18 09:21:32.907820,0.15,0.44999999999999996
86,1,International,2024-05-27 19:01:32.907827,0.18,0.18
105,3,Domestic,2024-06-04 17:40:32.907835,0.05,0.15000000000000002
243,2,Domestic,2024-06-09 07:00:32.907843,0.05,0.1
177,6,Domestic,2024-05-27 00:21:32.907851,0.06,0.36
234,1,Domestic,2024-06-18 23:22:32.907859,0.05,0.05
78,3,Domestic,2024-06-01 07:52:32.907867,0.05,0.15000000000000002
126,1,Domestic,2024-06-11 16:42:32.907874,0.05,0.05
