Customer ID,Age,Gender,Subscription Plan,Total Monthly Billing
1,39,Female,Premium,7.4399999999999995
2,33,Female,Standard,4.3500000000000005
3,41,Male,Premium,3.96
4,50,Female,Standard,2.3000000000000003
5,32,Female,Standard,5.45
6,32,Male,Premium,4.68
7,50,Male,Standard,6.9
8,42,Male,Premium,4.319999999999999
9,30,Male,Premium,8.46
10,40,Male,Standard,4.7
11,30,Male,Standard,4.2
12,30,Male,Standard,4.7
13,37,Male,Standard,5.5
14,15,Female,Premium,6.6
15,17,Male,Standard,2.1
16,29,Female,Standard,7.0
17,24,Male,Standard,3.35
18,38,Female,Standard,4.25
19,25,Male,Premium,3.7199999999999998
20,20,Male,Standard,4.45
21,49,Female,Premium,4.2
22,32,Female,Standard,4.75
23,35,Female,Premium,6.72
24,20,Male,Standard,3.45
25,29,Male,Standard,5.55
26,36,Female,Premium,6.12
27,23,Female,Standard,5.2
28,38,Female,Premium,5.52
29,28,Female,Standard,2.1
30,32,Male,Standard,5.25
31,28,Female,Standard,2.7
32,53,Male,Premium,10.92
33,34,Male,Standard,3.75
34,24,Male,Standard,3.25
35,43,Female,Standard,5.9
36,22,Male,Standard,4.5
37,37,Male,Standard,3.4
38,15,Female,Premium,5.9399999999999995
39,21,Male,Premium,3.7199999999999998
40,36,Female,Premium,6.0
41,42,Male,Premium,6.24
42,36,Male,Standard,3.0
43,33,Female,Premium,9.12
44,31,Male,Standard,4.0
45,20,Male,Standard,4.8500000000000005
46,27,Male,Standard,4.15
47,30,Male,Standard,7.7
48,45,Female,Premium,5.16
49,38,Male,Standard,4.1
50,17,Female,Standard,3.0
51,38,Male,Standard,4.55
52,31,Female,Premium,6.359999999999999
53,28,Female,Standard,5.2
54,41,Female,Standard,8.3
55,45,Male,Standard,4.2
56,44,Male,Premium,4.02
57,26,Male,Standard,4.65
58,31,Female,Standard,5.5
59,38,Female,Standard,2.7
60,44,Female,Standard,2.95
61,30,Male,Standard,4.3
62,33,Female,Standard,10.95
63,23,Female,Premium,7.859999999999999
64,23,Male,Standard,3.95
65,43,Male,Standard,5.45
66,48,Female,Premium,7.56
67,34,Female,Standard,11.0
68,45,Female,Standard,7.55
69,38,Male,Standard,5.15
70,28,Female,Standard,4.3
71,38,Male,Premium,3.36
72,50,Male,Standard,3.8000000000000003
73,34,Male,Premium,6.96
74,50,Female,Standard,5.55
75,8,Female,Standard,3.1
76,43,Female,Standard,5.0
77,35,Male,Standard,7.1000000000000005
